i,p,t,level,marginal,lower,upper,scale
Germany,food_clothing,24,0.0,-0.0,0.0,inf,1.0
Germany,food_clothing,25,0.0,-0.0,0.0,inf,1.0
Germany,food_clothing,26,0.0,-0.0,0.0,inf,1.0
Germany,food_clothing,27,7352.0,-0.0,0.0,inf,1.0
Germany,food_clothing,28,0.0,-0.0,0.0,inf,1.0
Germany,food_clothing,29,1317.0,-0.0,0.0,inf,1.0
Germany,food_clothing,30,0.0,-0.0,0.0,inf,1.0
Germany,food_clothing,31,0.0,-0.0,0.0,inf,1.0
Germany,housing,0,0.0,-0.0,0.0,inf,1.0
Germany,housing,1,0.0,-0.0,0.0,inf,1.0
Germany,housing,2,0.0,-0.0,0.0,inf,1.0
Germany,housing,3,0.0,-0.0,0.0,inf,1.0
Germany,housing,4,0.0,-0.0,0.0,inf,1.0
Germany,housing,5,0.0,-0.0,0.0,inf,1.0
Germany,housing,6,0.0,-0.0,0.0,inf,1.0
